,,,,,,,,,,,,,
,,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
city,agg_account_name,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
A Coruña,3000:Commission,"53,865","57,681","75,054","99,845","134,813","172,986","190,968","98,650","198,402","203,181","199,057","225,914"
A Coruña,4140:Supply: Car branding incentives,0,0,0,0,0,0,0,0,0,0,0,0
A Coruña,4151:Supply: Projects,0,0,"1,005","1,005","1,005","1,005","2,010","2,010","2,010","3,014","3,014","3,014"
A Coruña,4160:Supply: Booking fee,"1,939","2,077","2,702","3,594","4,853","6,227","6,875","3,551","7,142","7,315","7,166","8,133"
A Coruña,4190:Supply: Insurance,0,0,0,0,0,0,0,0,0,0,0,0
A Coruña,4230:Demand: Refunds Agent,86,92,120,160,216,277,306,158,317,325,318,361
A Coruña,4300:Payment processing fees,1875,1961,2552,3395,4584,5882,6493,3354,6746,6908,6768,7410
A Coruña,4310:Payout Fees,22,23,30,40,54,69,76,39,79,81,80,90
A Coruña,4311:Fiscalization services,199,213,278,358,479,595,657,340,683,716,713,772
A Coruña,4320:Fraud & Failed Payments,172,162,210,240,324,415,382,197,397,325,318,361
A Coruña,4340:Debt expense,15,16,21,28,38,48,53,28,56,57,56,63
A Coruña,5100:Operational costs,0,0,0,0,0,0,0,0,0,0,0,0
A Coruña,5102:Operational Tax cost - Other,582,623,811,"1,078","1,456","1,868","2,062","1,065","2,143","2,194","2,150","2,440"
A Coruña,5230:Demand: Car Branding,280,328,304,59,63,78,92,54,91,90,95,93
A Coruña,6420:Infrastructure & services,264,283,369,473,633,784,867,446,905,946,943,"1,028"
A Coruña,6421:Communication Services,115,123,160,206,276,343,379,196,393,412,411,444
A Coruña,6500:Travel and Transportation,96,111,122,150,179,213,247,137,245,241,245,245
A Coruña,COS IT Infrastructure,379,406,529,679,908,"1,127","1,246",642,"1,298","1,358","1,354","1,472"
A Coruña,COS Operational Costs,668,715,931,"1,238","1,672","2,145","2,368","1,223","2,460","2,519","2,468","2,801"
A Coruña,COS Supply Costs,"1,939","2,077","3,707","4,599","5,858","7,232","8,885","5,561","9,152","10,329","10,180","11,147"
A Coruña,Commission for Net Rate,"53,865","57,681","75,054","99,845","134,813","172,986","190,968","98,650","198,402","203,181","199,057","225,914"
A Coruña,Customer Support,635,783,782,945,"1,132","1,304","1,560",763,"1,428","1,431","1,496","1,520"
A Coruña,Customer Support G&A,14,19,21,29,39,46,47,26,53,53,59,49
A Coruña,Demand Incentives,"28,010","25,380","27,019","31,551","43,140","55,355","61,110","31,568","63,489","65,018","63,698","90,366"
A Coruña,Dynamic OPEX,"5,255","5,553","8,236","10,547","13,877","17,468","20,114","11,359","20,818","22,240","21,878","24,068"
